"","Accession","Gene Symbol","Coverage [%]","# Peptides","# PSMs","# AAs","MW [kDa]","Pfam IDs","Entrez Gene ID","Ensembl Gene ID","WT1","WT2","WT3","KD1","KD2","KD3","TM1","TM2","TM3","C11","C12","C13","NT1","NT2","NT3","KD_FC","KD_logP","TM_FC","TM_logP","C1_FC","C1_logP","NT_FC","NT_logP","Rest_FC","Rest_logP","# Protein Pathway Groups","Biological Process","Cellular Component","Molecular Function","Gene ID","Reactome Pathways","WikiPathways","Uniprotlink","ffatscore","ffatscore2"
"11","Q96CS3","FAF2",7,2,3,445,52.6,"Pf00789, Pf14555, Pf21021","23197","ENSG00000113194",NA,135720.28798853,422201.228939677,NA,NA,228066.606660191,1068390.74487431,NA,1849992,NA,NA,NA,NA,NA,NA,0.290606967966194,NA,-2.38703500773642,0.978302449940992,NA,NA,NA,NA,-1.91062812240455,0.524800417346538,3,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport","non-structural extracellular;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","enzyme regulator activity;other molecular function","hsa:23197; O94963; Q8IUF2; Q96CS3; Q9BRP2; Q9BVM7","Neutrophil degranulation; RHOA GTPase cycle","5q35 copy number variation","https://rest.uniprot.org/uniprotkb/Q96CS3.fasta",5,4
"12","O15118","NPC1",4,3,4,1278,142.1,"Pf02460, Pf12349, Pf16414","4864","ENSG00000141458",191971.761517898,320513.793947897,145194.042540901,NA,126548.077921218,97154.9520791583,697680.65237465,504443.355356959,119119.5703125,NA,NA,NA,NA,NA,271678.680428957,0.970837618686277,0.667115686593288,-1.00643963736444,0.550121116634426,NA,NA,-0.309478940552428,NA,-0.465804046562738,0.223029675520072,4,"cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","transporter activity;other molecular function","B4DET3; O15118; Q9P130","LDL clearance","Irinotecan pathway; Degradation pathway of sphingolipids, including diseases; Ebola virus infection in host","https://rest.uniprot.org/uniprotkb/O15118.fasta",4,4
"13","Q96TC7","RMDN3",25,8,24,470,52.1,"Pf21033","55177","ENSG00000137824",2881346.41320379,12901418.3269846,18902063.6052875,174925.930626687,482967.849035285,1983354.0950092,1635777.43282489,665634.941586729,5482224.75,NA,NA,NA,NA,NA,NA,3.71501313834853,1.06666053783058,2.15578838682364,0.8502698284192,NA,NA,NA,NA,2.734273275897,1.69930636917329,0,"other biological processes","other membranes;cytoskeleton;mitochondrion;nucleus;other cell component","cytoskeletal activity","A9UMZ9; B3KRR3; hsa:55177; Q6ZWE9; Q96H23; Q96SD6; Q96TC7; Q9H6G1; Q9NVQ6",NA,NA,"https://rest.uniprot.org/uniprotkb/Q96TC7.fasta",2.5,2.5
"14","Q9UL25","RAB21",11,2,9,225,24.3,"Pf00071","23011","ENSG00000080371",185777.906451705,NA,148920.27784808,175792.328204335,196687.991515389,145355.751003293,473198.854060007,813695.389694083,5788788,NA,NA,NA,NA,NA,NA,-0.0446722367259968,0.0766921840748122,-3.81697413020656,0.402300681753586,NA,NA,NA,NA,-2.9188733558484,0.272934105380291,3,"cell organization and biogenesis;transport;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function","hsa:23011; Q14466; Q569H3; Q9UL25","RAB GEFs exchange GTP for GDP on RABs; RAB geranylgeranylation","Ciliary landscape","https://rest.uniprot.org/uniprotkb/Q9UL25.fasta",4,4
"15","Q9Y6I9","TEX264",12,4,17,313,34.2,NA,"51368","ENSG00000164081",3840789.77781872,1976081.00929028,1374992.21852795,1060023.35920631,1463081.65176646,1183565.36548041,6626006.85470212,1647961.71615863,35960802.3125,NA,NA,1348492.45002695,NA,NA,NA,0.956241713769155,0.705121671003356,-2.62074340559695,0.503119234535345,0.830055594984967,NA,NA,NA,-1.55446317437168,0.248448255648166,1,"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response","non-structural extracellular;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","other molecular function","B3KN87; hsa:51368; Q9UKD7; Q9Y6I9","Platelet degranulation",NA,"https://rest.uniprot.org/uniprotkb/Q9Y6I9.fasta",4,4
"16","P62937","PPIA",16,2,2,165,18,"Pf00160","5478","ENSG00000196262",293431.294945471,716712.724569891,538891.920319182,778815.629997409,NA,608994.958797877,NA,1269489.76459026,2303619,NA,991212.150531005,NA,942287.235163552,1465003.33199616,2323731.7329714,-0.426402563036411,0.426600777963756,-1.79077171352,1.25570922002439,-0.94085766125357,NA,-1.61078134405779,1.18447423706633,-1.37085759050496,1.15073081830343,16,"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function","A8K220; hsa:5478; P05092; P62937; Q3KQW3; Q567Q0; Q6IBU5; Q96IX3; Q9BRU4; Q9BTY9; Q9UC61","Neutrophil degranulation; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Budding and maturation of HIV virion; Platelet degranulation ; Basigin interactions; SARS-CoV-1 activates/modulates innate immune responses; Integration of provirus; APOBEC3G mediated resistance to HIV-1 infection; Calcineurin activates NFAT; Binding and entry of HIV virion; Assembly Of The HIV Virion; Uncoating of the HIV Virion; Minus-strand DNA synthesis; Plus-strand DNA synthesis","Prolactin signaling pathway","https://rest.uniprot.org/uniprotkb/P62937.fasta",5.5,4
"17","Q13444","ADAM15",11,7,12,863,92.9,"Pf00200, Pf01421, Pf01562, Pf08516","8751","ENSG00000143537",207229.056621094,139612.538727191,NA,268467.942480695,109432.24928508,48195.3565129135,2984503.7057293,1137580.60271972,2871817.546875,NA,NA,NA,NA,NA,NA,0.288062447657753,0.127226252202219,-3.74878621948199,1.16656636601957,NA,NA,NA,NA,-2.83410735050929,0.471931288548213,2,"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytoskeleton;other cell component","signal transduction activity or receptor binding;other molecular function","B3KQU5; B4DLB5; B4DMH8; E9PN65; hsa:8751; Q13444; Q13493; Q53XQ0; Q5SR68; Q5SR69; Q6R267; Q71S61; Q71S62; Q71S63; Q71S64; Q71S65; Q71S66; Q71S67; Q71S68; Q71S69; Q96C78; U3KQL5","Degradation of the extracellular matrix; Invadopodia formation",NA,"https://rest.uniprot.org/uniprotkb/Q13444.fasta",4.5,4
"18","P51572","BCAP31",20,4,9,246,28,"Pf05529, Pf18035","10134","ENSG00000185825",1410348.0593603,959067.27945325,951109.543002618,970360.319380082,82099.1842593399,1520219.35256526,807239.60494818,1360741.86458218,10315201.3125,NA,NA,NA,NA,NA,NA,0.368139930437507,0.21773188265386,-1.91050260437207,0.42227937122671,NA,NA,NA,NA,-1.1808420607087,0.24990034149581,5,"stress response;transport;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;mitochondrion;ER/Golgi;other cell component","signal transduction activity or receptor binding;other molecular function","B3KQ79; D3DWV5; hsa:10134; P51572; Q13836; Q96CF0","Antigen Presentation: Folding, assembly and peptide loading of class I MHC; RSV-host interactions; RHOA GTPase cycle; Apoptotic cleavage of cellular proteins",NA,"https://rest.uniprot.org/uniprotkb/P51572.fasta",6,4
"19","Q9NZR2","LRP1B",1,3,4,4599,515.2,"Pf00008, Pf00057, Pf00058, Pf07645, Pf12662, Pf14670, Pf16472","53353","ENSG00000168702",269634.045244448,131524.635113747,225210.404557662,106744.796227086,165410.727018763,161246.318608379,555346.827422712,461982.735034145,316133.09375,56865.5287811006,NA,NA,NA,NA,NA,0.531307724149304,0.647666449488818,-1.09009250877883,1.36538623732858,1.87642423024645,NA,NA,NA,-0.319414842945304,0.1762952854688,0,"transport","plasma membrane;other membranes;other cell component","other molecular function","hsa:53353; Q8WY29; Q8WY30; Q8WY31; Q9NZR2",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9NZR2.fasta",3,3
"20","P27824","CANX",20,11,22,592,67.5,"Pf00262","821","ENSG00000127022; ENSG00000283777",814332.188458516,2091830.48528023,225168.606260212,146575.585321139,708035.219681174,868257.858318976,14346729.5136848,7703038.22702172,10751751.078125,NA,532473.784662151,NA,NA,1275285.66383911,NA,0.86196341974276,0.325427418681804,-3.38891456598607,2.11044242355438,0.971031242280233,NA,-0.289006800680704,NA,-2.12136106843158,0.489339179231635,9,"protein metabolism;other metabolic processes;transport;other biological processes","other membranes;ER/Golgi;nucleus;other cell component","other molecular function","B2R5V8; B4DGP8; B4E2T8; D3DWQ3; D6R9K3; hsa:821; P27824","Maturation of spike protein; MHC class II antigen presentation; Antigen Presentation: Folding, assembly and peptide loading of class I MHC; Interleukin-35 Signalling; Interleukin-27 signaling; Assembly of Viral Components at the Budding Site; Calnexin/calreticulin cycle; Maturation of spike protein","15q11q13 copy number variation","https://rest.uniprot.org/uniprotkb/P27824.fasta",4,4
"21","Q9NZN5","ARHGEF12",5,7,9,1544,173.1,"Pf00595, Pf00621, Pf09128, Pf17838","23365","ENSG00000196914",1625143.32383608,2820055.85637472,1472307.91236969,335077.029073585,143512.263580198,NA,NA,699692.688978567,118044.78125,NA,148284.913156984,NA,NA,NA,NA,3.04316700408711,1.28169218543605,2.27031737550445,1.11159198203286,3.73358330210936,NA,NA,NA,2.77127338821941,2.5651976835598,8,"signal transduction;other biological processes","other membranes;cytosol;other cell component","signal transduction activity or receptor binding;enzyme regulator activity","hsa:23365; O15086; Q6P526; Q9NZN5","Sema4D induced cell migration and growth-cone collapse; RHOA GTPase cycle; RHOC GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events; CDC42 GTPase cycle; RHOB GTPase cycle","Netrin-UNC5B signaling pathway","https://rest.uniprot.org/uniprotkb/Q9NZN5.fasta",1.5,1.5
"22","Q9NZ43","USE1",15,3,11,259,29.4,"Pf09753","55850","ENSG00000053501",2450785.3068134,1364406.97415736,1206001.2788107,1936964.85087495,1419481.14865999,1462328.29848967,2222805.40845794,3151989.22973888,11099239.25,339790.692408642,NA,NA,902705.533732784,NA,NA,0.059364110251425,0.0547663166261608,-1.7140916165497,0.601056306118571,2.30034959948937,NA,0.890740482683918,NA,-0.751047194174132,0.225736541094566,1,"cell organization and biogenesis;protein metabolism;other metabolic processes;transport","other membranes;ER/Golgi","other molecular function","hsa:55850; Q8NCK1; Q9BRT4; Q9NZ43","COPI-dependent Golgi-to-ER retrograde traffic",NA,"https://rest.uniprot.org/uniprotkb/Q9NZ43.fasta",5.5,4
"23","Q8N766","EMC1",12,8,19,993,111.7,"Pf07774, Pf13360","23065","ENSG00000127463",104249.379582065,NA,NA,NA,NA,NA,5506800.7509804,3529225.14296787,2294356.5625,NA,NA,NA,NA,NA,NA,NA,NA,-5.17905145132332,NA,NA,NA,NA,NA,-5.17905145132332,NA,0,"cell organization and biogenesis","other membranes;ER/Golgi;other cell component",NA,"A8K6F3; hsa:23065; Q14700; Q5TG62; Q63HL0; Q63HL3; Q8N766; Q8NBH8",NA,NA,"https://rest.uniprot.org/uniprotkb/Q8N766.fasta",4,4
"24","Q8NC42","RNF149",6,2,3,400,43.1,"Pf02225, Pf13639","284996","ENSG00000163162",45213.2651608069,446447.135637851,88321.0490262568,NA,NA,96943.8662711942,948043.877935173,614318.953214404,518898.3125,NA,NA,69165.0664885895,NA,NA,NA,0.995822731306458,NA,-1.84337933398189,1.28957482470573,1.48292879852695,NA,NA,NA,-1.21719345696471,0.486271138801512,0,"protein metabolism;other metabolic processes;other biological processes","ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function","hsa:284996; Q53S14; Q8N5I8; Q8NBY5; Q8NC42; Q8WUU3",NA,NA,"https://rest.uniprot.org/uniprotkb/Q8NC42.fasta",4.5,4
"25","Q9Y5W7","SNX14",10,8,11,946,110.1,"Pf00615, Pf00787, Pf02194, Pf08628","57231","ENSG00000135317",1786104.42198987,2303374.72468929,1195444.54985269,880961.567106377,2425071.79820347,759067.674888489,97625.6101312611,272885.983937453,1310284.7578125,NA,NA,116268.354832745,151508.711269127,NA,NA,0.378591430517614,0.259273266371284,1.65273770639829,1.1399725464928,3.9213897495126,NA,3.53944748990421,NA,1.22867336972078,1.09453241143332,0,"cell organization and biogenesis;other metabolic processes;transport;other biological processes","other membranes;cytosol;other cytoplasmic organelle;other cell component","other molecular function","B4DI55; hsa:57231; Q4VBR3; Q5TCF9; Q5TCG0; Q6NUI7; Q6PI37; Q9BSD1; Q9Y5W7",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9Y5W7.fasta",4.5,4
"26","Q8WXH0","SYNE2",0,2,2,6885,795.9,"Pf00307, Pf00435, Pf10541","23224","ENSG00000054654",154630.665879572,NA,92278.1641767206,57810.1669465209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09458328791739,NA,NA,NA,NA,NA,NA,NA,1.09458328791739,NA,4,"cell organization and biogenesis;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cell component","cytoskeletal activity;other molecular function","B4DND7; B4DPR6; I6XXQ5; Q540G1; Q86YP9; Q8N1S3; Q8NF49; Q8TER7; Q8WWW3; Q8WWW4; Q8WWW5; Q8WXH0; Q8WXH1; Q9NU50; Q9UFQ4; Q9Y2L4; Q9Y4R1","Meiotic synapsis","Ovarian infertility; Rett syndrome; Envelope proteins and their potential roles in EDMD physiopathology","https://rest.uniprot.org/uniprotkb/Q8WXH0.fasta",2.5,2.5
"27","Q8TAA9","VANGL1",10,4,11,524,59.9,"Pf06638","81839","ENSG00000173218",71666.939356958,2044528.21149451,1126464.34498107,NA,180287.557312183,NA,2372802.03958847,996924.032759172,3247569.5,NA,NA,NA,NA,NA,NA,2.58384330037568,NA,-1.0290641836509,0.576984987710284,NA,NA,NA,NA,-0.652806852544012,0.267348739998114,20,"cell-cell signaling;signal transduction;other biological processes","plasma membrane;other membranes",NA,"hsa:81839; Q5T1D3; Q5T1D4; Q86WG8; Q8N559; Q8TAA9","RND3 GTPase cycle; RND1 GTPase cycle; RHOC GTPase cycle; RHOA GTPase cycle; RAC1 GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOB GTPase cycle; RHOD GTPase cycle; RHOF GTPase cycle; CDC42 GTPase cycle; RHOQ GTPase cycle; RHOJ GTPase cycle; RND2 GTPase cycle; RHOV GTPase cycle; RHOU GTPase cycle; RHOH GTPase cycle","Wnt signaling; 11p11.2 copy number variation syndrome","https://rest.uniprot.org/uniprotkb/Q8TAA9.fasta",3.5,3.5
"28","P06703","S100A6",17,2,2,90,10.2,"Pf01023","6277","ENSG00000197956",127967.649779263,80167.7497162708,255386.093592291,NA,NA,NA,NA,NA,NA,NA,105993.097016349,NA,138261.654950765,109847.200057791,1990381.10371424,NA,NA,NA,NA,0.543703426353155,NA,-2.27181770467881,0.401231920641084,-1.92352421101429,0.325677748492263,3,"cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","transporter activity;cytoskeletal activity;other molecular function","D3DV39; hsa:6277; P06703; Q5RHS4",NA,"Gastric cancer network 2; Vitamin D receptor pathway; Prostaglandin synthesis and regulation","https://rest.uniprot.org/uniprotkb/P06703.fasta",5,4
"29","Q05655","PRKCD",8,4,7,676,77.5,"Pf00069, Pf00130, Pf00433, Pf21494","5580","ENSG00000163932",96322.1791617499,366416.181103274,NA,172823.190164928,181742.980338188,NA,2343491.12249969,1940732.71802673,2968123.375,NA,NA,NA,NA,NA,NA,0.384141807065346,0.138072673527643,-3.38521689084072,1.9231008855626,NA,NA,NA,NA,-2.71711447734646,0.625001141980893,47,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","enzyme regulator activity;kinase activity;other molecular function","B0KZ81; B2R834; hsa:5580; Q05655; Q15144; Q86XJ6","Interferon gamma signaling; CLEC7A (Dectin-1) signaling; KEAP1-NFE2L2 pathway; Neutrophil degranulation; Role of phospholipids in phagocytosis; G alpha (z) signalling events; SHC1 events in ERBB2 signaling; HuR (ELAVL1) binds and stabilizes mRNA; VEGFR2 mediated cell proliferation; DAG and IP3 signaling; Effects of PIP2 hydrolysis; RHO GTPases Activate NADPH Oxidases; Calmodulin induced events; Apoptotic cleavage of cellular proteins","Type II diabetes mellitus; Glioblastoma signaling pathways; B cell receptor signaling pathway; AGE/RAGE pathway; Corticotropin-releasing hormone signaling pathway; Oncostatin M signaling pathway; Brain-derived neurotrophic factor (BDNF) signaling pathway; Alpha 6 beta 4 signaling pathway; Myometrial relaxation and contraction pathways; G protein signaling pathways; IL6 signaling pathway; MAPK signaling pathway; VEGFA-VEGFR2 signaling; Chemokine signaling pathway; Wnt signaling pathway and pluripotency; Pancreatic adenocarcinoma pathway; Non-genomic actions of 1,25 dihydroxyvitamin D3; EGF/EGFR signaling pathway; Hippo signaling regulation pathways; Translation inhibitors in chronically activated PDGFRA cells; Gastrin signaling pathway; IL-18 signaling pathway; Osteoblast differentiation and related diseases; Insulin signaling; Kisspeptin/kisspeptin receptor system in the ovary; Galanin receptor pathway; Orexin receptor pathway; CCL18 signaling pathway; Chronic hyperglycemia impairment of neuron function; TROP2 regulatory signaling; Calcium regulation in cardiac cells; Type II interferon signaling; T-cell receptor signaling pathway","https://rest.uniprot.org/uniprotkb/Q05655.fasta",4.5,4
"30","P50570","DNM2",10,8,8,870,98,"Pf00169, Pf00350, Pf01031, Pf02212","1785","ENSG00000079805",379275.478913437,106259.505615332,NA,473681.829928946,NA,NA,1964947.91654073,176783.211211767,3504249.796875,227459.1462109,NA,NA,139763.081437179,NA,121617.207532818,-0.964343081590259,NA,-2.95461459799088,0.553418101760538,0.0939678036548771,NA,0.893424901004762,0.302118011392972,-1.95932124553991,0.306406428772697,14,"cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function","A8K1B6; E7EV30; E9PEQ4; hsa:1785; K7ESI9; P50570; Q5I0Y0; Q7Z5S3; Q9UPH4","Recycling pathway of L1; MHC class II antigen presentation; Clathrin-mediated endocytosis; Lysosome Vesicle Biogenesis; NGF-stimulated transcription; Golgi Associated Vesicle Biogenesis; Toll Like Receptor 4 (TLR4) Cascade; NOSTRIN mediated eNOS trafficking; Retrograde neurotrophin signalling; Formation of annular gap junctions","Synaptic vesicle pathway; Fragile X syndrome; Intracellular trafficking proteins involved in CMT neuropathy","https://rest.uniprot.org/uniprotkb/P50570.fasta",5,4
"31","Q9Y5P4","CERT1",3,2,2,624,70.8,"Pf00169, Pf01852","10087","ENSG00000113163",453196.387886182,1058332.47575954,152414.787053694,89943.8349461631,101172.944446057,158522.538695359,324723.660651719,160321.492461968,388604.59375,NA,NA,117828.782148846,NA,NA,NA,2.25066724270884,0.753313744518612,0.929479664745386,0.406452174314391,2.2348801810272,NA,NA,NA,1.53356298317254,1.15287041265897,1,"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","other membranes;cytosol;mitochondrion;ER/Golgi;nucleus","transporter activity;kinase activity;other molecular function","A8K7S2; B3KUB7; hsa:10087; Q53YV1; Q53YV2; Q96Q85; Q96Q88; Q9H2S7; Q9H2S8; Q9Y5P4",NA,"Sphingolipid pathway","https://rest.uniprot.org/uniprotkb/Q9Y5P4.fasta",1,1
